Date,DGS1MO
2002-08-31,0.0014166666666666666
2002-09-30,0.0013333333333333335
2002-10-31,0.0012333333333333332
2002-11-30,0.0010416666666666667
2002-12-31,0.001
2003-01-31,0.000975
2003-02-28,0.0010083333333333333
2003-03-31,0.0009666666666666666
2003-04-30,0.0009416666666666666
2003-05-31,0.0009666666666666666
2003-06-30,0.000675
2003-07-31,0.0007583333333333334
2003-08-31,0.0008166666666666666
2003-09-30,0.000725
2003-10-31,0.0007999999999999999
2003-11-30,0.0007999999999999999
2003-12-31,0.00075
2004-01-31,0.0007083333333333333
2004-02-29,0.0007916666666666666
2004-03-31,0.0007999999999999999
2004-04-30,0.0006916666666666666
2004-05-31,0.0007833333333333333
2004-06-30,0.000975
2004-07-31,0.0010583333333333334
2004-08-31,0.0012083333333333334
2004-09-30,0.001225
2004-10-31,0.0014416666666666666
2004-11-30,0.001725
2004-12-31,0.001575
2005-01-31,0.0017166666666666667
2005-02-28,0.0020916666666666666
2005-03-31,0.0021916666666666664
2005-04-30,0.0022500000000000003
2005-05-31,0.002333333333333333
2005-06-30,0.0024916666666666668
2005-07-31,0.0027083333333333334
2005-08-31,0.002841666666666667
2005-09-30,0.0026249999999999997
2005-10-31,0.0031416666666666667
2005-11-30,0.0033333333333333335
2005-12-31,0.0033416666666666664
2006-01-31,0.0036416666666666667
2006-02-28,0.0037249999999999996
2006-03-31,0.0038750000000000004
2006-04-30,0.003833333333333333
2006-05-31,0.003958333333333334
2006-06-30,0.0037833333333333334
2006-07-31,0.004183333333333333
2006-08-31,0.004266666666666667
2006-09-30,0.003833333333333333
2006-10-31,0.004316666666666667
2006-11-30,0.00435
2006-12-31,0.003958333333333334
2007-01-31,0.004166666666666667
2007-02-28,0.004366666666666667
2007-03-31,0.0042250000000000005
2007-04-30,0.004
2007-05-31,0.0039833333333333335
2007-06-30,0.0035666666666666668
2007-07-31,0.004275
2007-08-31,0.0033499999999999997
2007-09-30,0.0028583333333333334
2007-10-31,0.0033416666666666664
2007-11-30,0.003025
2007-12-31,0.0023
2008-01-31,0.0013666666666666666
2008-02-29,0.001725
2008-03-31,0.0010166666666666666
2008-04-30,0.000975
2008-05-31,0.00165
2008-06-30,0.0013333333333333335
2008-07-31,0.0012916666666666667
2008-08-31,0.0013583333333333331
2008-09-30,0.0008500000000000001
2008-10-31,9.999999999999999e-05
2008-11-30,1.6666666666666667e-05
2008-12-31,9.166666666666667e-05
2009-01-31,0.000125
2009-02-28,0.00013333333333333334
2009-03-31,0.00014166666666666668
2009-04-30,3.3333333333333335e-05
2009-05-31,0.00011666666666666668
