LUACTRUU Index,PX_LAST,PX_MID,TOT_RETURN_INDEX_GROSS_DVDS,CPN,CUR_MKT_CAP,INDEX_YIELD_TO_WORST,INDEX_YIELD_TO_MATURITY,COUNT_INDEX_MEMBERS
03-01-2000,993.01,993.01,993.01,7.046126,1153444.02,7.812042,#N/A N/A,3624
04-01-2000,997.38,997.38,997.38,7.045272,1158174.59,7.739018,#N/A N/A,3623
05-01-2000,992.11,992.11,992.11,7.045272,1152029.09,7.831254,#N/A N/A,3623
06-01-2000,995.14,995.14,995.14,7.044923,1154900.33,7.784623,#N/A N/A,3620
07-01-2000,998.03,998.03,998.03,7.044923,1158253.47,7.74225,#N/A N/A,3620
10-01-2000,995.95,995.95,995.95,7.044923,1155758.47,7.793788,#N/A N/A,3620
11-01-2000,990.75,990.75,990.75,7.045642,1150326.29,7.886251,#N/A N/A,3621
12-01-2000,989.45,989.45,989.45,7.047686,1153000.15,7.916433,#N/A N/A,3623
13-01-2000,994.04,994.04,994.04,7.047968,1160443.78,7.832497,#N/A N/A,3625
14-01-2000,992.95,992.95,992.95,7.048231,1155536.22,7.852859,#N/A N/A,3627
18-01-2000,990.48,990.48,990.48,7.048231,1152233.35,7.910857,#N/A N/A,3627
19-01-2000,992.17,992.17,992.17,7.049333,1156209.27,7.881127,#N/A N/A,3629
20-01-2000,990.93,990.93,990.93,7.049516,1155389.29,7.906094,#N/A N/A,3631
21-01-2000,992.05,992.05,992.05,7.050537,1160785.97,7.892407,#N/A N/A,3634
24-01-2000,997.38,997.38,997.38,7.050179,1165336.95,7.805824,#N/A N/A,3632
25-01-2000,997.68,997.68,997.68,7.050537,1163591.8,7.80174,#N/A N/A,3621
26-01-2000,998.8,998.8,998.8,7.052827,1170868.09,7.798362,#N/A N/A,3627
27-01-2000,999.48,999.48,999.48,7.053665,1172451.16,7.811387,#N/A N/A,3629
28-01-2000,1000.47,1000.47,1000.47,7.056259,1178913.32,7.81122,#N/A N/A,3643
31-01-2000,995.43,995.43,995.43,7.05723,1173455.75,7.904764,#N/A N/A,3648
01-02-2000,997.91,997.91,997.91,7.062437,1168537.03,7.879928,#N/A N/A,3622
02-02-2000,997.25,997.25,997.25,7.063554,1168550.49,7.906251,#N/A N/A,3623
03-02-2000,1003.1,1003.1,1003.1,7.063554,1175357.05,7.813168,#N/A N/A,3623
04-02-2000,999.57,999.57,999.57,7.063996,1171343.35,7.888565,#N/A N/A,3624
07-02-2000,995.22,995.22,995.22,7.0644,1167908.48,7.968364,#N/A N/A,3626
08-02-2000,998.77,998.77,998.77,7.064561,1171749.03,7.922311,#N/A N/A,3621
09-02-2000,995.71,995.71,995.71,7.067018,1172021.91,7.966691,#N/A N/A,3630
10-02-2000,992.24,992.24,992.24,7.067218,1168393.1,8.009129,#N/A N/A,3631
11-02-2000,994.01,994.01,994.01,7.067448,1170726.04,7.979962,#N/A N/A,3632
14-02-2000,998.75,998.75,998.75,7.067295,1173002.66,7.901449,#N/A N/A,3630
15-02-2000,997.72,997.72,997.72,7.068875,1174317.13,7.917217,#N/A N/A,3635
16-02-2000,997.67,997.67,997.67,7.06895,1174655.73,7.918413,#N/A N/A,3636
